line_no	start_ms	start_s	matched	text	act	measure
1148	5492560	5492.560	1	Mit der rechten Hand am rechten Arm?	3	219
1151	5504060	5504.060	1	Was wollt Ihr? Was geht's Euch an?	3	222
1154	5506060	5506.060	1	Puh! Puh! Da stinkt's nach Menschenblut!	3	222
1157	5508810	5508.810	1	Bin ich ein Mörder?	3	223
1160	5509810	5509.810	1	Blut, Blut, Blut, Blut!	3	224
1163	5510060	5510.060	1	Freilich, da stinkt's nach Menschenblut!	3	224
1166	5514560	5514.560	1	Platz! oder es geht wer zum Teufel!	3	226
1175	5516810	5516.810	1	Das Messer? Wo ist das Messer? Ich hab's dagelassen ... Näher, noch näher. Mir graut's! Da regt sich was. Still! Alles still und tot ... Mörder! Mörder! Ha! Da ruft's. Nein, ich selbst.	3	226
1177	5538840	5538.840	1	Marie! Marie! Was hast Du für eine rote Schnur um den Hals? Hast Dir das rote Halsband verdient, wie die Ohrringlein, mit Deiner Sünde! Was hängen Dir die schwarzen Haare so wild? Mörder! Mörder! Sie werden nach mir suchen ... Das Messer verrät mich!	3	233
1179	5590960	5590.960	1	Da, da ist's	3	254
1181	5596674	5596.674	1	So! Da hinunter	3	257
1183	5599531	5599.531	1	Es taucht ins dunkle Wasser wie ein Stein.	3	257
1185	5610960	5610.960	1	Aber der Mond verrät mich ... der Mond ist blutig. Will denn die ganze Welt es ausplaudern?! - Das Messer, es liegt zu weit vorn, sie finden's beim Baden oder wenn sie nach Muscheln tauchen.	3	261
1187	5651260	5651.260	1	Ich find's nicht ... Aber ich muss mich waschen. Ich bin blutig. Da ein Fleck. . . und noch einer. Weh! Weh! ich wasche mich mit Blut! Das Wasser ist Blut ... Blut ...	3	273
1193	5685540	5685.540	1	Halt!	3	284
1197	5700260	5700.260	1	Hören Sie? Dort!	3	289
1200	5703360	5703.360	1	Jesus! Das war ein Ton.	3	290
1205	5707780	5707.780	1	Ja, dort!.	3	292
1208	5708500	5708.500	1	Es ist das Wasser im Teich. Das Wasser ruft. Es ist schon lange Niemand ertrunken. Kommen Sie, Doktor! Es ist nicht gut zu hören.	3	292
1213	5725960	5725.960	1	Das stöhnt als stürbe ein Mensch. Da ertrinkt jemand!	3	297
1216	5760260	5760.260	1	Unheimlich! Der Mond rot und die Nebel grau. Hören Sie? jetzt wieder das Ächzen.	3	306
1219	5781280	5781.280	1	Stiller.... jetzt ganz still.	3	312
1222	5794180	5794.180	1	Kommen Sie! Kommen Sie schnell.	3	316
1232	5811280	5811.280	1	Ringel, Ringel, Rosenkranz, Ringelreih'n!	3	320
1233	5823710	5823.710	1	Ringel, Ringel, Rosenkranz, Rin ...	3	323
1238	5828970	5828.970	1	Du Käthe! . . . Die Marie ...	3	324
1241	5829960	5829.960	0	Was is?	3	324
1244	5830950	5830.950	1	Weisst' es nit? Sie sind schon Alle 'naus.	3	324
1248	5832180	5832.180	1	Du! Dein Mutter ist tot!	3	324
1252	5832735	5832.735	0	Hopp, hopp! Hopp, hopp! Hopp, hopp!	3	324
1255	5833290	5833.290	1	Wo is sie denn?	3	325
1258	5836480	5836.480	1	Drauss' liegt sie, am Weg, neben dem Teich.	3	325
1261	5836480	5836.480	0	Kommt, anschaun!	3	325
1267	5836480	5836.480	0	Hopp, hopp! Hopp, hopp! Hopp, hopp!	3	325
